0,12
1,10
2,11
3,8
4,9
5,15
6,17
7,15
8,13
9,15
10,15
11,15
12,16
13,15
14,14
15,5
16,17
17,17
18,17
19,17
20,16
21,14
22,5,17,1653
23,2
24,3
25,1
26,1
27,1
28,2
33,18
34,19
35,2
36,15
37,17
38,18
39,20
40,21
41,22
43,23
55,2,24
57,2,25
59,0,26
60,27
61,28
62,2
63,15
64,17
65,27
66,29
68,7
69,30
70,31
71,2
72,15
73,17
74,30
75,32
77,2
78,33
79,34
80,2
81,15
82,17
83,33
84,35
86,2
87,36
88,37
89,2
90,15
91,17
92,36
93,38
95,1
96,39
97,40
98,2
99,15
100,17
101,39
102,41
104,1
105,42
106,43
107,2
108,15
109,17
110,42
111,44
113,3
114,45
115,46
116,2
117,15
118,17
119,45
120,47
122,3
123,48
124,49
125,2
126,15
127,17
128,48
129,50
131,3
132,51
133,52
134,2
135,15
136,17
137,51
138,53
140,3
141,54
142,55
143,2
144,15
145,17
146,54
147,56
148,57
149,58
150,2
151,15
152,17
153,57
154,59
155,60
156,61
157,2
158,15
159,17
160,60
161,62,1805
163,3
164,63
165,64
166,2
167,15
168,17
169,63
170,65
171,66
172,67
173,2
174,15
175,17
176,66
177,68
178,69
179,70
180,2
181,15
182,17
183,69
184,71
185,72
186,73
187,2
188,15
189,17
190,72
191,74
192,75
193,76
194,2
195,15
196,17
197,75
198,77
199,78
200,79
201,2
202,15
203,17
204,78
205,80
206,81
207,82
208,2
209,15
210,17
211,81
212,83
214,84,85
215,17
217,86,87
218,17
222,89
223,2
224,15
225,17
226,90
228,91
229,17
233,93
234,2
235,15
236,17
237,94
239,95
240,17
244,97
245,2
246,15
247,17
248,98
250,99
251,2
252,13
254,3
258,101
259,2
260,15
261,17
262,102
264,103
265,17
269,105
270,2
271,15
272,17
273,106
274,107
276,107
280,109
281,2
282,15
283,17
284,110
285,111
287,111
291,113
292,2
293,15
294,17
295,114
296,115
298,115
302,117
303,2
304,15
305,17
306,118
307,119
309,119
313,121
314,2
315,15
316,17
317,122
318,123
320,123
324,125
325,2
326,15
327,17
328,126
330,1
334,128
335,2
336,15
337,17
338,129
340,1
344,131
345,2
346,15
347,17
348,132
350,1
354,134
355,2
356,15
357,17
358,135
360,136
361,2
362,13
364,3
373,138
374,2
375,15
376,17
377,139
379,3
384,141
385,2
386,15
387,17
388,142
390,3
395,144
396,2
397,15
398,17
399,145
400,146
409,148
410,2
411,15
412,17
413,149
415,1
420,151
421,2
422,15
423,17
424,152
426,1
431,154
432,2
433,15
434,17
435,155
437,1
449,157
450,2
451,15
452,17
453,158
455,3
460,160
461,2
462,15
463,17
464,161
466,7
471,163
472,2
473,15
474,17
475,164
477,7
482,166
483,2
484,15
485,17
486,167
488,168
489,17
493,170
494,2
495,15
496,17
497,171
499,1
508,173
509,2
510,15
511,17
512,174
514,3
519,176
520,2
521,15
522,17
523,177
525,3
530,179
531,2
532,15
533,17
534,180
536,181
537,2
538,13
547,183
548,2
549,15
550,17
551,184
553,3
558,186
559,2
560,15
561,17
562,187
564,7
569,189
570,2
571,15
572,17
573,190
575,2
580,192
581,2
582,15
583,17
584,193
585,194
587,194
592,196
593,2
594,15
595,17
596,197
598,7
603,199
604,2
605,15
606,17
607,200
609,201
610,2
611,13
620,203
621,2
622,15
623,17
624,204
626,205
627,2
628,13
637,207
638,2
639,15
640,17
641,208
643,209
644,2
645,13
654,211
655,2
656,15
657,17
658,212
660,2
665,214
666,2
667,15
668,17
669,215
671,2
676,217
677,2
678,15
679,17
680,218
682,2
687,220
688,2
689,15
690,17
691,221
693,1
698,223
699,2
700,15
701,17
702,224
704,1
709,226
710,2
711,15
712,17
713,227
718,229
719,2
720,15
721,17
722,230
724,231
725,2
726,13
728,7
733,233
734,2
735,15
736,17
737,234
739,235
740,2
741,13
750,237
751,2
752,15
753,17
754,238
756,7
761,240
762,2
763,15
764,17
765,241
767,7
771,243
772,2
773,15
774,17
775,244
777,3
786,246
787,2
788,15
789,17
790,247
792,247
797,249
798,2
799,15
800,17
801,250
803,250
808,252
809,2
810,15
811,17
812,253
814,3
819,255
820,2
821,15
822,17
823,256
825,3
830,258
831,2
832,15
833,17
834,259
836,2
841,261
842,2
843,15
844,17
845,262
847,2
852,264
853,2
854,15
855,17
856,265
858,2
863,267
864,2
865,15
866,17
867,268
869,7
874,270
875,2
876,15
877,17
878,271
880,3
885,273
886,2
887,15
888,17
889,274
891,2
896,276
897,2
898,15
899,17
900,277
902,3
907,279
908,2
909,15
910,17
911,280
913,281
914,2
915,13
917,3
922,283
923,2
924,15
925,17
926,284
928,3
933,286
934,2
935,15
936,17
937,287
939,3
944,289
945,2
946,15
947,17
948,290
950,3
955,292
956,2
957,15
958,17
959,293
961,3
966,295
967,2
968,15
969,17
970,296
972,3
977,298
978,2
979,15
980,17
981,299
983,3
992,301
993,2
994,15
995,17
996,302
998,3
1003,304
1004,2
1005,15
1006,17
1007,305
1009,1
1033,307
1034,2
1035,15
1036,17
1037,308
1039,3
1044,310
1045,2
1046,15
1047,17
1048,311
1050,3
1055,313
1056,2
1057,15
1058,17
1059,314
1061,2
1066,316
1067,2
1068,15
1069,17
1070,317
1072,2
1077,319
1078,2
1079,15
1080,17
1081,320
1083,2
1088,322
1089,2
1090,15
1091,17
1092,323
1094,2
1122,325
1123,2
1124,15
1125,17
1126,326
1128,2
1132,328
1133,2
1134,15
1135,17
1136,329
1138,2
1142,331
1143,2
1144,15
1145,17
1146,332
1148,2
1152,334
1153,2
1154,15
1155,17
1156,335
1158,2
1162,337
1163,2
1164,15
1165,17
1166,338
1168,2
1172,340
1173,2
1174,15
1175,17
1176,341
1178,2
1182,343
1183,2
1184,15
1185,17
1186,344
1188,2
1192,346
1193,2
1194,15
1195,17
1196,347
1198,2
1202,349
1203,2
1204,15
1205,17
1206,350
1208,2
1212,352
1213,2
1214,15
1215,17
1216,353
1218,2
1222,355
1223,2
1224,15
1225,17
1226,356
1228,2
1232,358
1233,2
1234,15
1235,17
1236,359
1238,2
1242,361
1243,2
1244,15
1245,17
1246,362
1248,2
1252,364
1253,2
1254,15
1255,17
1256,365
1258,2
1262,367
1263,2
1264,15
1265,17
1266,368
1268,2
1272,370
1273,2
1274,15
1275,17
1276,371
1278,2
1282,373
1283,2
1284,15
1285,17
1286,374
1288,2
1292,376
1293,2
1294,15
1295,17
1296,377
1298,2
1302,379
1303,2
1304,15
1305,17
1306,380
1308,2
1312,382
1313,2
1314,15
1315,17
1316,383
1318,2
1322,385
1323,2
1324,15
1325,17
1326,386
1328,2
1337,388
1338,2
1339,15
1340,17
1341,389
1343,3
1348,391
1349,2
1350,15
1351,17
1352,392
1354,3
1359,394
1360,2
1361,15
1362,17
1363,395
1365,3
1370,397
1371,2
1372,15
1373,17
1374,398
1376,3
1381,400
1382,2
1383,15
1384,17
1385,401
1387,3
1392,403
1393,2
1394,15
1395,17
1396,404
1398,3
1403,406
1404,2
1405,15
1406,17
1407,407
1409,2
1414,409
1415,2
1416,15
1417,17
1418,410
1420,2
1425,412
1426,2
1427,15
1428,17
1429,413
1431,2
1436,415
1437,2
1438,15
1439,17
1440,416
1442,2
1447,418
1448,2
1449,15
1450,17
1451,419
1453,2
1458,421
1459,2
1460,15
1461,17
1462,422
1464,2
1469,424
1470,2
1471,15
1472,17
1473,425
1475,2
1480,427
1481,2
1482,15
1483,17
1484,428
1486,2
1491,430
1492,2
1493,15
1494,17
1495,431
1497,2
1502,433
1503,2
1504,15
1505,17
1506,434
1508,2
1513,436
1514,2
1515,15
1516,17
1517,437
1519,2
1524,439
1525,2
1526,15
1527,17
1528,440
1530,2
1535,442
1536,2
1537,15
1538,17
1539,443
1541,2
1546,445
1547,2
1548,15
1549,17
1550,446
1552,2
1557,448
